well,date,dia
A1,20191127,554
A1,20191127,650
A2,20191127,695
A2,20191127,673
A2,20191127,660
A2,20191127,828
A2,20191127,694
A2,20191127,651
A2,20191127,679
A3,20191127,617
A3,20191127,635
A3,20191127,540
A3,20191127,664
A1,20191129,944.335
A1,20191129,881.995
A2,20191129,1179.079
A2,20191129,1120.282
A2,20191129,1112.892
A2,20191129,1083.849
A2,20191129,1053.479
A2,20191129,1034.919
A2,20191129,974.784
A3,20191129,972.083
A3,20191129,1155.17
A3,20191129,1307.818
A3,20191129,894.254
A1,20191203,1489.983
A1,20191203,1396.217
A2,20191203,1387.389
A2,20191203,1632.47
A2,20191203,1186.172
A2,20191203,1597.564
A2,20191203,1436.362
A2,20191203,1530.002
A2,20191203,1117.985
A3,20191203,1637.725
A3,20191203,1335.417
A3,20191203,1462.731
A3,20191203,864.553
A1,20191205,1481.916
A1,20191205,1327.029
A2,20191205,1106.095
A2,20191205,1163.323
A2,20191205,1521.496
A2,20191205,1600.402
A2,20191205,1379.979
A2,20191205,1524.498
A2,20191205,1447.71
A3,20191205,1582.112
A3,20191205,1352.841
A3,20191205,1311.211
A3,20191205,919.177
A1,20191207,1711.711
A1,20191207,1587.372
A2,20191207,1873.843
A2,20191207,1626.362
A2,20191207,1788.788
A2,20191207,1690.604
A2,20191207,1850.674
A2,20191207,1408.213
A2,20191207,1648.068
A3,20191207,1798.1
A3,20191207,941.505
A3,20191207,1590.906
A3,20191207,1569.521
A1,20191209,1759.309
A1,20191209,1555.84
A2,20191209,1876.712
A2,20191209,1461.862
A2,20191209,1515.597
A2,20191209,1970.881
A2,20191209,1067.166
A2,20191209,1638.212
A2,20191209,1747.203
A3,20191209,1697.977
A3,20191209,891.008
A3,20191209,1778.688
A3,20191209,1591.087
A1,20191211,1606.4
A1,20191211,1886.642
A2,20191211,1913.338
A2,20191211,1698.812
A2,20191211,1202.679
A2,20191211,1780.362
A2,20191211,1182.777
A2,20191211,2075.346
A2,20191211,1918.817
A3,20191211,2338.991
A3,20191211,1521.603
A3,20191211,952.421
A3,20191211,1624.367
