T[s]	25-Min[µV]	25-Height[µV]	25-Max[µV]	25-Amplitude[µV]	24-Min[µV]	24-Height[µV]	24-Max[µV]	24-Amplitude[µV]	15-Min[µV]	15-Height[µV]	15-Max[µV]	15-Amplitude[µV]	16-Min[µV]	16-Height[µV]	16-Max[µV]	16-Amplitude[µV]	26-Min[µV]	26-Height[µV]	26-Max[µV]	26-Amplitude[µV]	17-Min[µV]	17-Height[µV]	17-Max[µV]	17-Amplitude[µV]	27-Min[µV]	27-Height[µV]	27-Max[µV]	27-Amplitude[µV]	35-Min[µV]	35-Height[µV]	35-Max[µV]	35-Amplitude[µV]	34-Min[µV]	34-Height[µV]	34-Max[µV]	34-Amplitude[µV]	28-Min[µV]	28-Height[µV]	28-Max[µV]	28-Amplitude[µV]	37-Min[µV]	37-Height[µV]	37-Max[µV]	37-Amplitude[µV]	38-Min[µV]	38-Height[µV]	38-Max[µV]	38-Amplitude[µV]	45-Min[µV]	45-Height[µV]	45-Max[µV]	45-Amplitude[µV]	14-Min[µV]	14-Height[µV]	14-Max[µV]	14-Amplitude[µV]	36-Min[µV]	36-Height[µV]	36-Max[µV]	36-Amplitude[µV]	28-Min[µV]	28-Height[µV]	28-Max[µV]	28-Amplitude[µV]	37-Min[µV]	37-Height[µV]	37-Max[µV]	37-Amplitude[µV]	38-Min[µV]	38-Height[µV]	38-Max[µV]	38-Amplitude[µV]	26-Min[µV]	26-Height[µV]	26-Max[µV]	26-Amplitude[µV]	17-Min[µV]	17-Height[µV]	17-Max[µV]	17-Amplitude[µV]	27-Min[µV]	27-Height[µV]	27-Max[µV]	27-Amplitude[µV]	36-Min[µV]	36-Height[µV]	36-Max[µV]	36-Amplitude[µV]	45-Min[µV]	45-Height[µV]	45-Max[µV]	45-Amplitude[µV]	46-Min[µV]	46-Height[µV]	46-Max[µV]	46-Amplitude[µV]	48-Min[µV]	48-Height[µV]	48-Max[µV]	48-Amplitude[µV]	47-Min[µV]	47-Height[µV]	47-Max[µV]	47-Amplitude[µV]	15-Min[µV]	15-Height[µV]	15-Max[µV]	15-Amplitude[µV]	25-Min[µV]	25-Height[µV]	25-Max[µV]	25-Amplitude[µV]	35-Min[µV]	35-Height[µV]	35-Max[µV]	35-Amplitude[µV]	16-Min[µV]	16-Height[µV]	16-Max[µV]	16-Amplitude[µV]	58-Min[µV]	58-Height[µV]	58-Max[µV]	58-Amplitude[µV]	74-Min[µV]	74-Height[µV]	74-Max[µV]	74-Amplitude[µV]	57-Min[µV]	57-Height[µV]	57-Max[µV]	57-Amplitude[µV]	86-Min[µV]	86-Height[µV]	86-Max[µV]	86-Amplitude[µV]	65-Min[µV]	65-Height[µV]	65-Max[µV]	65-Amplitude[µV]	75-Min[µV]	75-Height[µV]	75-Max[µV]	75-Amplitude[µV]	85-Min[µV]	85-Height[µV]	85-Max[µV]	85-Amplitude[µV]	56-Min[µV]	56-Height[µV]	56-Max[µV]	56-Amplitude[µV]	64-Min[µV]	64-Height[µV]	64-Max[µV]	64-Amplitude[µV]	72-Min[µV]	72-Height[µV]	72-Max[µV]	72-Amplitude[µV]	82-Min[µV]	82-Height[µV]	82-Max[µV]	82-Amplitude[µV]	73-Min[µV]	73-Height[µV]	73-Max[µV]	73-Amplitude[µV]	83-Min[µV]	83-Height[µV]	83-Max[µV]	83-Amplitude[µV]	84-Min[µV]	84-Height[µV]	84-Max[µV]	84-Amplitude[µV]	66-Min[µV]	66-Height[µV]	66-Max[µV]	66-Amplitude[µV]	77-Min[µV]	77-Height[µV]	77-Max[µV]	77-Amplitude[µV]	87-Min[µV]	87-Height[µV]	87-Max[µV]	87-Amplitude[µV]	76-Min[µV]	76-Height[µV]	76-Max[µV]	76-Amplitude[µV]	61-Min[µV]	61-Height[µV]	61-Max[µV]	61-Amplitude[µV]	62-Min[µV]	62-Height[µV]	62-Max[µV]	62-Amplitude[µV]	71-Min[µV]	71-Height[µV]	71-Max[µV]	71-Amplitude[µV]	63-Min[µV]	63-Height[µV]	63-Max[µV]	63-Amplitude[µV]	55-Min[µV]	55-Height[µV]	55-Max[µV]	55-Amplitude[µV]	68-Min[µV]	68-Height[µV]	68-Max[µV]	68-Amplitude[µV]	67-Min[µV]	67-Height[µV]	67-Max[µV]	67-Amplitude[µV]	78-Min[µV]	78-Height[µV]	78-Max[µV]	78-Amplitude[µV]	52-Min[µV]	52-Height[µV]	52-Max[µV]	52-Amplitude[µV]	51-Min[µV]	51-Height[µV]	51-Max[µV]	51-Amplitude[µV]	53-Min[µV]	53-Height[µV]	53-Max[µV]	53-Amplitude[µV]	54-Min[µV]	54-Height[µV]	54-Max[µV]	54-Amplitude[µV]
1	-12.727	20.455	7.727	-3.636	-9.545	10.909	1.364	-4.205	-205.909	236.818	30.909	-73.182	-17.273	25	7.727	-3.636	-16.818	23.636	6.818	-4.773	-19.545	25.909	6.364	-3.864	-15	21.818	6.818	-4.773	-10.909	15	4.091	-4.205	-81.364	164.091	82.727	-2.727	-14.545	18.182	3.636	-5	-10.909	17.273	6.364	-3.409	-12.727	16.818	4.091	-4.773	-11.818	16.818	5	-3.523	-85.455	179.545	94.091	-2.727	-12.727	17.727	5	-3.295	-14.545	18.182	3.636	-5	-10.909	17.273	6.364	-3.409	-12.727	16.818	4.091	-4.773	-16.818	23.636	6.818	-4.773	-19.545	25.909	6.364	-3.864	-15	21.818	6.818	-4.773	-12.727	17.727	5	-3.295	-11.818	16.818	5	-3.523	-13.182	15.909	2.727	-5.227	-10.455	16.364	5.909	-2.386	-11.818	18.182	6.364	-3.409	-205.909	236.818	30.909	-73.182	-12.727	20.455	7.727	-3.636	-10.909	15	4.091	-4.205	-17.273	25	7.727	-3.636	-10.909	11.818	0.909	-5	-10	13.182	3.182	-3.636	-8.636	12.273	3.636	-2.614	-40	70	30	-5.795	-34.545	58.182	23.636	-4.886	-35.909	61.364	25.455	-5.682	-35.909	61.364	25.455	-4.318	-9.091	11.818	2.727	-3.295	-10	11.818	1.818	-4.545	-98.182	171.364	73.182	-12.273	-22.273	35.909	13.636	-3.523	-76.818	142.273	65.455	-4.659	-31.818	55	23.182	-4.432	-12.273	13.636	1.364	-4.545	-35.909	64.091	28.182	-5.682	-34.091	61.818	27.727	-5.909	-33.182	55.909	22.727	-6.364	-31.364	60.909	29.545	-4.659	-45	74.545	29.545	-5.455	-40	69.545	29.545	-3.864	-45.909	73.182	27.273	-5.909	-90	163.636	73.636	-4.205	-46.364	77.273	30.909	-4.773	-39.091	70.909	31.818	-4.318	-39.091	66.364	27.273	-7.159	-40.909	67.273	26.364	-4.886	-45.909	71.364	25.455	-6.25	-42.273	70	27.727	-5.795	-45	69.545	24.545	-6.818	-44.091	70.455	26.364	-2.727
2	-13.182	18.636	5.455	-3.636	-10	11.818	1.818	-4.091	-96.364	161.364	65	-5	-15.455	23.636	8.182	-4.091	-15	22.727	7.727	-4.318	-16.364	24.545	8.182	-3.864	-15.455	23.182	7.727	-4.091	-10.909	15	4.091	-4.205	-82.273	160.909	78.636	-2.386	-13.182	16.818	3.636	-5	-11.364	18.182	6.818	-3.409	-13.182	18.182	5	-4.432	-13.182	18.182	5	-3.295	-87.727	168.636	80.909	3.409	-13.182	19.091	5.909	-3.295	-13.182	16.818	3.636	-5	-11.364	18.182	6.818	-3.409	-13.182	18.182	5	-4.432	-15	22.727	7.727	-4.318	-16.364	24.545	8.182	-3.864	-15.455	23.182	7.727	-4.091	-13.182	19.091	5.909	-3.295	-13.182	18.182	5	-3.295	-13.182	20	6.818	-4.545	-10.455	16.818	6.364	-2.159	-11.364	16.364	5	-3.295	-96.364	161.364	65	-5	-13.182	18.636	5.455	-3.636	-10.909	15	4.091	-4.205	-15.455	23.636	8.182	-4.091	-10.909	11.364	0.455	-5.114	-9.545	12.273	2.727	-3.409	-9.091	12.727	3.636	-2.727	-29.545	53.636	24.091	-5.568	-33.636	57.273	23.636	-4.659	-37.273	67.273	30	-5.568	-37.273	61.364	24.091	-5.682	-10	12.727	2.727	-3.295	-10.909	12.273	1.364	-4.659	-58.636	136.364	77.727	13.75	-20	34.091	14.091	-3.409	-78.182	139.545	61.364	-5.341	-33.182	58.182	25	-4.432	-10	11.364	1.364	-4.545	-37.273	60.909	23.636	-5.455	-36.364	61.364	25	-5.114	-31.818	55	23.182	-5.795	-29.091	58.182	29.091	-1.818	-41.364	66.818	25.455	-4.545	-34.091	60.455	26.364	-4.205	-32.727	59.091	26.364	-4.886	-80.909	146.818	65.909	-5.455	-38.636	63.636	25	-6.023	-34.545	65.455	30.909	-2.841	-37.727	64.545	26.818	-4.318	-37.273	65.455	28.182	-4.318	-33.182	60.909	27.727	-4.659	-35.909	63.636	27.727	-5.341	-36.818	65.455	28.636	-4.318	-36.818	60.455	23.636	-5.568
3	-14.091	20.909	6.818	-3.636	-10.455	12.273	1.818	-4.205	-91.818	144.545	52.727	-17.159	-15	23.182	8.182	-3.523	-15.909	21.818	5.909	-4.659	-15.455	21.364	5.909	-3.75	-15.455	22.273	6.818	-4.205	-10.909	13.182	2.273	-4.205	-79.091	149.545	70.455	-2.955	-12.727	16.364	3.636	-5.227	-12.273	17.727	5.455	-3.409	-12.727	16.818	4.091	-4.318	-11.364	16.364	5	-3.523	-97.727	177.727	80	-9.205	-14.091	20.455	6.364	-3.409	-12.727	16.364	3.636	-5.227	-12.273	17.727	5.455	-3.409	-12.727	16.818	4.091	-4.318	-15.909	21.818	5.909	-4.659	-15.455	21.364	5.909	-3.75	-15.455	22.273	6.818	-4.205	-14.091	20.455	6.364	-3.409	-11.364	16.364	5	-3.523	-13.182	17.727	4.545	-4.545	-10.455	15.909	5.455	-2.159	-11.818	17.273	5.455	-3.182	-91.818	144.545	52.727	-17.159	-14.091	20.909	6.818	-3.636	-10.909	13.182	2.273	-4.205	-15	23.182	8.182	-3.523	-11.364	12.273	0.909	-5.114	-10.455	12.727	2.273	-3.523	-8.636	11.818	3.182	-2.727	-36.364	62.727	26.364	-5.795	-38.636	66.364	27.727	-5.682	-34.545	62.273	27.727	-6.364	-33.636	60.909	27.273	-3.409	-10.455	12.727	2.273	-3.409	-10.909	13.636	2.727	-4.659	-92.727	179.545	86.818	1.477	-19.091	31.364	12.273	-3.977	-90.455	164.091	73.636	-3.182	-28.182	54.091	25.909	-2.614	-10.455	11.818	1.364	-4.545	-38.182	69.545	31.364	-6.364	-35.455	65	29.545	-4.773	-35.455	59.091	23.636	-5.341	-36.364	58.636	22.273	-3.977	-37.727	67.273	29.545	-3.75	-42.727	68.636	25.909	-5.114	-40.909	70.455	29.545	-4.886	-89.091	175.909	86.818	-3.295	-38.636	67.727	29.091	-4.773	-40.909	68.182	27.273	-3.523	-45	79.545	34.545	-5.227	-37.273	69.091	31.818	-4.091	-41.364	72.727	31.364	-5.114	-39.091	66.818	27.727	-5.568	-45.455	79.545	34.091	-5.682	-31.818	61.818	30	-2.386
4	-13.636	19.091	5.455	-3.636	-10.909	13.636	2.727	-4.205	-106.364	166.364	60	-16.477	-14.545	22.727	8.182	-3.864	-15	21.818	6.818	-4.091	-14.091	22.727	8.636	-3.295	-15	21.364	6.364	-4.432	-10.909	15	4.091	-4.091	-72.727	145.455	72.727	-2.614	-13.182	20	6.818	-5.114	-11.818	16.818	5	-3.523	-13.182	18.182	5	-3.977	-15.455	20.909	5.455	-3.523	-88.636	162.273	73.636	0.455	-12.727	17.273	4.545	-3.523	-13.182	20	6.818	-5.114	-11.818	16.818	5	-3.523	-13.182	18.182	5	-3.977	-15	21.818	6.818	-4.091	-14.091	22.727	8.636	-3.295	-15	21.364	6.364	-4.432	-12.727	17.273	4.545	-3.523	-15.455	20.909	5.455	-3.523	-12.727	16.818	4.091	-4.773	-10.455	17.727	7.273	-2.045	-11.818	17.273	5.455	-3.295	-106.364	166.364	60	-16.477	-13.636	19.091	5.455	-3.636	-10.909	15	4.091	-4.091	-14.545	22.727	8.182	-3.864	-10.909	11.364	0.455	-5.114	-10.909	13.182	2.273	-3.636	-8.636	13.182	4.545	-2.614	-35.909	56.818	20.909	-6.25	-36.818	58.636	21.818	-4.886	-34.545	59.545	25	-5.455	-32.727	58.636	25.909	-5.909	-8.636	12.273	3.636	-3.182	-10	11.818	1.818	-4.659	-95.909	157.727	61.818	-12.159	-17.727	29.545	11.818	-3.75	-77.727	136.364	58.636	-8.523	-27.727	55	27.273	-3.977	-10.909	12.273	1.364	-4.659	-37.727	65.909	28.182	-4.545	-40	63.182	23.182	-5.227	-34.091	63.182	29.091	-4.886	-30.909	56.364	25.455	-2.841	-39.091	68.636	29.545	-5.114	-35.909	64.545	28.636	-3.636	-37.727	65.909	28.182	-5.568	-84.545	156.818	72.273	-3.75	-35.455	66.818	31.364	-4.886	-35.909	60	24.091	-3.636	-38.636	65	26.364	-6.705	-36.364	63.636	27.273	-4.659	-40	70.909	30.909	-4.886	-35.455	65	29.545	-3.295	-43.636	73.182	29.545	-5.909	-33.636	57.273	23.636	-3.068
5	-13.182	19.545	6.364	-3.523	-10	11.818	1.818	-4.091	-175.909	206.364	30.455	-45.795	-16.818	24.545	7.727	-3.636	-15	23.182	8.182	-4.205	-15.909	24.091	8.182	-3.864	-17.727	23.636	5.909	-4.545	-10.909	13.636	2.727	-4.091	-75.909	137.727	61.818	-2.5	-13.182	15.909	2.727	-5	-13.182	18.182	5	-3.523	-15	19.091	4.091	-4.659	-12.273	17.727	5.455	-3.068	-94.091	170.909	76.818	-7.955	-12.273	18.182	5.909	-3.295	-13.182	15.909	2.727	-5	-13.182	18.182	5	-3.523	-15	19.091	4.091	-4.659	-15	23.182	8.182	-4.205	-15.909	24.091	8.182	-3.864	-17.727	23.636	5.909	-4.545	-12.273	18.182	5.909	-3.295	-12.273	17.727	5.455	-3.068	-14.091	17.273	3.182	-4.659	-11.364	17.727	6.364	-2.273	-11.818	16.364	4.545	-3.409	-175.909	206.364	30.455	-45.795	-13.182	19.545	6.364	-3.523	-10.909	13.636	2.727	-4.091	-16.818	24.545	7.727	-3.636	-10.909	11.364	0.455	-5	-8.636	10.909	2.273	-3.523	-8.636	11.818	3.182	-2.727	-34.091	58.182	24.091	-5.341	-30	60.455	30.455	-3.409	-35.455	60	24.545	-5	-34.545	63.636	29.091	-4.886	-9.545	13.636	4.091	-3.182	-10.909	12.273	1.364	-4.545	-90.909	156.818	65.909	-17.159	-19.545	31.818	12.273	-3.409	-89.091	166.818	77.727	-6.932	-33.636	57.273	23.636	-3.295	-10.909	13.182	2.273	-4.659	-36.364	62.273	25.909	-4.773	-30.455	62.273	31.818	-3.864	-34.091	54.091	20	-7.045	-37.727	66.818	29.091	-2.955	-37.727	60	22.273	-5.909	-36.364	67.273	30.909	-5.568	-35.909	62.273	26.364	-4.545	-83.182	168.636	85.455	-2.841	-39.091	69.091	30	-5.455	-38.636	67.727	29.091	-4.545	-37.727	68.182	30.455	-5.114	-39.545	70	30.455	-3.523	-47.273	84.545	37.273	-5.682	-45	73.182	28.182	-4.659	-43.182	73.636	30.455	-5.568	-37.727	71.364	33.636	-3.75
6	-12.727	19.091	6.364	-3.636	-10.455	13.636	3.182	-4.091	-79.545	138.636	59.091	-11.136	-15.455	25	9.545	-3.864	-15.455	23.636	8.182	-4.545	-15.455	24.545	9.091	-3.182	-15.455	21.364	5.909	-4.659	-10.909	13.182	2.273	-4.205	-72.727	138.182	65.455	-2.614	-15	20.455	5.455	-4.886	-13.182	18.636	5.455	-3.523	-14.091	18.182	4.091	-4.318	-11.818	16.818	5	-3.409	-89.091	156.818	67.727	-6.705	-13.182	19.091	5.909	-3.068	-15	20.455	5.455	-4.886	-13.182	18.636	5.455	-3.523	-14.091	18.182	4.091	-4.318	-15.455	23.636	8.182	-4.545	-15.455	24.545	9.091	-3.182	-15.455	21.364	5.909	-4.659	-13.182	19.091	5.909	-3.068	-11.818	16.818	5	-3.409	-13.636	17.727	4.091	-4.659	-9.545	16.364	6.818	-2.045	-12.273	18.636	6.364	-3.409	-79.545	138.636	59.091	-11.136	-12.727	19.091	6.364	-3.636	-10.909	13.182	2.273	-4.205	-15.455	25	9.545	-3.864	-10.455	10.909	0.455	-5.114	-10	12.273	2.273	-3.523	-9.545	12.727	3.182	-2.614	-31.364	57.727	26.364	-4.773	-34.091	60.909	26.818	-2.614	-34.091	57.273	23.182	-6.364	-33.182	60	26.818	-5.227	-8.636	12.727	4.091	-3.295	-10.909	12.273	1.364	-4.545	-77.273	155.455	78.182	-4.432	-21.818	33.182	11.364	-3.977	-75.909	141.818	65.909	-8.75	-30.909	59.545	28.636	-6.364	-10.455	11.818	1.364	-4.545	-38.182	63.182	25	-5.909	-35	65.455	30.455	-4.545	-34.545	59.545	25	-5.227	-32.273	57.727	25.455	-3.068	-37.727	63.636	25.909	-5.568	-32.727	66.818	34.091	-3.182	-39.091	64.545	25.455	-5.909	-82.727	163.636	80.909	-2.273	-36.818	66.818	30	-6.023	-37.273	65.909	28.636	-4.773	-38.636	62.727	24.091	-6.25	-40.455	75	34.545	-4.545	-45	72.727	27.727	-6.818	-38.182	66.818	28.636	-5.227	-41.818	70	28.182	-5.568	-39.545	70	30.455	-3.523
7	-12.727	20.455	7.727	-3.523	-10.909	14.091	3.182	-4.205	-79.091	121.818	42.727	-24.886	-15.909	23.182	7.273	-4.205	-17.727	26.364	8.636	-4.318	-15.455	23.182	7.727	-3.75	-15.909	23.636	7.727	-3.864	-11.364	14.091	2.727	-4.091	-69.091	137.273	68.182	-2.5	-14.091	20.909	6.818	-4.886	-13.182	21.364	8.182	-3.409	-14.091	19.545	5.455	-4.545	-11.818	19.091	7.273	-3.295	-80.455	160	79.545	-5.227	-12.727	17.727	5	-3.523	-14.091	20.909	6.818	-4.886	-13.182	21.364	8.182	-3.409	-14.091	19.545	5.455	-4.545	-17.727	26.364	8.636	-4.318	-15.455	23.182	7.727	-3.75	-15.909	23.636	7.727	-3.864	-12.727	17.727	5	-3.523	-11.818	19.091	7.273	-3.295	-14.091	17.727	3.636	-4.659	-11.364	17.273	5.909	-2.159	-11.818	20.455	8.636	-2.955	-79.091	121.818	42.727	-24.886	-12.727	20.455	7.727	-3.523	-11.364	14.091	2.727	-4.091	-15.909	23.182	7.273	-4.205	-12.727	15	2.273	-5.114	-11.364	16.818	5.455	-3.636	-9.091	13.182	4.091	-2.841	-31.818	57.273	25.455	-4.659	-37.273	62.273	25	-5	-31.364	58.636	27.273	-4.091	-30.455	57.273	26.818	-3.864	-10	14.091	4.091	-3.295	-13.182	17.727	4.545	-4.659	-68.636	158.182	89.545	4.773	-19.545	32.273	12.727	-3.523	-65.455	139.091	73.636	-2.727	-29.091	53.182	24.091	-2.955	-12.727	16.364	3.636	-4.545	-35.455	61.364	25.909	-5.455	-33.182	56.364	23.182	-3.864	-34.091	55.909	21.818	-5.341	-28.182	54.091	25.909	-1.364	-40.455	67.727	27.273	-5.341	-36.364	74.091	37.727	-3.864	-34.545	61.364	26.818	-5.341	-73.636	149.091	75.455	-3.523	-35.455	65.455	30	-4.318	-34.545	62.273	27.727	-4.091	-34.091	60	25.909	-5.114	-41.818	72.273	30.455	-3.523	-37.727	67.273	29.545	-4.545	-39.091	68.182	29.091	-3.523	-36.818	67.727	30.909	-4.545	-35	64.545	29.545	-3.636
8	-14.545	22.273	7.727	-3.523	-11.818	15.455	3.636	-4.205	-149.545	186.364	36.818	-47.614	-17.273	25.909	8.636	-3.636	-17.273	25	7.727	-4.091	-16.818	28.182	11.364	-3.295	-15.455	25.909	10.455	-4.545	-13.182	18.636	5.455	-4.205	-76.364	145.455	69.091	-2.614	-15.455	21.364	5.909	-5	-14.091	21.818	7.727	-3.636	-15	23.636	8.636	-4.318	-15.909	22.727	6.818	-3.523	-98.636	173.182	74.545	-9.432	-13.636	21.364	7.727	-3.295	-15.455	21.364	5.909	-5	-14.091	21.818	7.727	-3.636	-15	23.636	8.636	-4.318	-17.273	25	7.727	-4.091	-16.818	28.182	11.364	-3.295	-15.455	25.909	10.455	-4.545	-13.636	21.364	7.727	-3.295	-15.909	22.727	6.818	-3.523	-15.909	23.182	7.273	-4.773	-13.182	22.273	9.091	-2.386	-14.545	22.727	8.182	-3.523	-149.545	186.364	36.818	-47.614	-14.545	22.273	7.727	-3.523	-13.182	18.636	5.455	-4.205	-17.273	25.909	8.636	-3.636	-12.727	16.364	3.636	-5.114	-14.091	19.545	5.455	-3.523	-10.909	16.364	5.455	-2.727	-36.818	59.091	22.273	-5.795	-34.545	58.636	24.091	-5.341	-35.455	60	24.545	-5.227	-35	64.091	29.091	-4.886	-11.364	16.818	5.455	-3.295	-15.455	19.545	4.091	-4.659	-120.909	164.545	43.636	-35.227	-18.636	34.091	15.455	-2.955	-75	140.909	65.909	-5	-32.273	53.182	20.909	-4.886	-13.636	18.182	4.545	-4.659	-37.273	63.182	25.909	-5.227	-30	55.909	25.909	-3.295	-32.273	55	22.727	-5.795	-35.909	61.364	25.455	-4.773	-44.091	75.455	31.364	-6.136	-36.364	59.545	23.182	-6.705	-38.636	64.545	25.909	-4.886	-78.182	153.636	75.455	-1.477	-45.455	71.818	26.364	-6.591	-39.091	68.636	29.545	-3.75	-34.091	62.273	28.182	-5.227	-37.727	67.727	30	-3.75	-37.727	68.182	30.455	-5	-34.091	63.182	29.091	-3.523	-41.364	75.455	34.091	-5.341	-34.545	59.091	24.545	-3.409
9	-14.545	20	5.455	-3.75	-11.364	13.182	1.818	-4.205	-122.727	183.182	60.455	-28.068	-15.909	24.545	8.636	-3.636	-16.364	22.273	5.909	-4.773	-14.545	21.818	7.273	-3.864	-15.455	23.636	8.182	-4.773	-11.818	15	3.182	-4.318	-75.909	149.091	73.182	-2.955	-13.182	16.364	3.182	-5.227	-12.727	18.182	5.455	-3.409	-13.182	17.273	4.091	-4.432	-12.273	18.636	6.364	-3.409	-89.545	168.636	79.091	1.705	-12.727	17.727	5	-3.523	-13.182	16.364	3.182	-5.227	-12.727	18.182	5.455	-3.409	-13.182	17.273	4.091	-4.432	-16.364	22.273	5.909	-4.773	-14.545	21.818	7.273	-3.864	-15.455	23.636	8.182	-4.773	-12.727	17.727	5	-3.523	-12.273	18.636	6.364	-3.409	-14.091	17.273	3.182	-4.545	-11.364	17.727	6.364	-2.159	-13.182	18.636	5.455	-3.182	-122.727	183.182	60.455	-28.068	-14.545	20	5.455	-3.75	-11.818	15	3.182	-4.318	-15.909	24.545	8.636	-3.636	-10.455	11.364	0.909	-5.114	-10.455	13.636	3.182	-3.636	-8.182	11.364	3.182	-2.614	-35.455	57.727	22.273	-5.114	-34.091	57.727	23.636	-6.136	-39.545	66.364	26.818	-6.136	-40.909	69.545	28.636	-4.545	-10	13.182	3.182	-3.295	-10.909	12.727	1.818	-4.659	-136.364	178.636	42.273	-35.682	-19.091	35	15.909	-3.636	-88.636	154.091	65.455	-3.068	-32.727	55.455	22.727	-5.227	-10.455	12.273	1.818	-4.659	-35.455	57.273	21.818	-5.682	-34.091	58.182	24.091	-5.568	-36.818	58.182	21.364	-5.114	-35.909	62.273	26.364	-3.182	-40.909	70.909	30	-4.773	-34.091	61.818	27.727	-4.886	-36.818	63.636	26.818	-6.023	-99.545	170.455	70.909	-5.909	-41.818	68.182	26.364	-4.773	-39.091	67.273	28.182	-4.432	-43.636	70	26.364	-6.364	-40.455	70	29.545	-4.432	-45.909	77.727	31.818	-6.477	-37.727	68.182	30.455	-3.523	-43.182	72.727	29.545	-4.886	-39.091	64.545	25.455	-2.841
10	-12.273	18.182	5.909	-3.636	-10	11.364	1.364	-4.205	-75.455	169.545	94.091	-0.682	-16.818	25.455	8.636	-3.864	-16.818	24.091	7.273	-4.205	-14.545	22.727	8.182	-3.864	-15.909	24.091	8.182	-4.318	-10.455	13.636	3.182	-4.205	-84.545	163.182	78.636	-2.386	-13.182	17.273	4.091	-4.886	-13.636	18.636	5	-3.523	-13.182	18.636	5.455	-4.091	-12.727	17.727	5	-3.409	-86.818	172.727	85.909	2.614	-13.182	18.636	5.455	-3.182	-13.182	17.273	4.091	-4.886	-13.636	18.636	5	-3.523	-13.182	18.636	5.455	-4.091	-16.818	24.091	7.273	-4.205	-14.545	22.727	8.182	-3.864	-15.909	24.091	8.182	-4.318	-13.182	18.636	5.455	-3.182	-12.727	17.727	5	-3.409	-13.182	18.636	5.455	-5	-9.545	16.364	6.818	-2.159	-12.273	19.091	6.818	-3.068	-75.455	169.545	94.091	-0.682	-12.273	18.182	5.909	-3.636	-10.455	13.636	3.182	-4.205	-16.818	25.455	8.636	-3.864	-10.909	11.364	0.455	-5.227	-9.091	11.364	2.273	-3.636	-8.182	12.727	4.545	-2.614	-43.182	83.182	40	-5.682	-35	59.091	24.091	-4.659	-34.091	55.455	21.364	-5.455	-37.273	63.182	25.909	-4.432	-9.091	11.818	2.727	-3.182	-10	11.364	1.364	-4.659	-110	197.273	87.273	-17.159	-19.091	32.727	13.636	-3.068	-83.182	163.636	80.455	-1.591	-32.273	54.091	21.818	-3.75	-11.364	12.727	1.364	-4.659	-34.545	59.545	25	-5.682	-40	62.273	22.273	-5.682	-32.727	55.909	23.182	-6.477	-30.909	53.182	22.273	-3.864	-38.636	65	26.364	-4.886	-35.455	67.727	32.273	-2.386	-32.273	61.818	29.545	-5.227	-97.727	185	87.273	-6.364	-38.182	70.909	32.727	-6.364	-38.182	63.636	25.455	-4.659	-36.364	66.818	30.455	-3.864	-44.091	77.727	33.636	-3.75	-37.727	68.182	30.455	-3.409	-41.818	69.545	27.727	-4.886	-39.091	71.818	32.727	-2.159	-37.727	65.909	28.182	-4.318
