T[s]	25-Min[µV]	25-Height[µV]	25-Max[µV]	25-Amplitude[µV]	24-Min[µV]	24-Height[µV]	24-Max[µV]	24-Amplitude[µV]	15-Min[µV]	15-Height[µV]	15-Max[µV]	15-Amplitude[µV]	16-Min[µV]	16-Height[µV]	16-Max[µV]	16-Amplitude[µV]	26-Min[µV]	26-Height[µV]	26-Max[µV]	26-Amplitude[µV]	17-Min[µV]	17-Height[µV]	17-Max[µV]	17-Amplitude[µV]	27-Min[µV]	27-Height[µV]	27-Max[µV]	27-Amplitude[µV]	35-Min[µV]	35-Height[µV]	35-Max[µV]	35-Amplitude[µV]	34-Min[µV]	34-Height[µV]	34-Max[µV]	34-Amplitude[µV]	28-Min[µV]	28-Height[µV]	28-Max[µV]	28-Amplitude[µV]	37-Min[µV]	37-Height[µV]	37-Max[µV]	37-Amplitude[µV]	38-Min[µV]	38-Height[µV]	38-Max[µV]	38-Amplitude[µV]	45-Min[µV]	45-Height[µV]	45-Max[µV]	45-Amplitude[µV]	14-Min[µV]	14-Height[µV]	14-Max[µV]	14-Amplitude[µV]	36-Min[µV]	36-Height[µV]	36-Max[µV]	36-Amplitude[µV]	28-Min[µV]	28-Height[µV]	28-Max[µV]	28-Amplitude[µV]	37-Min[µV]	37-Height[µV]	37-Max[µV]	37-Amplitude[µV]	38-Min[µV]	38-Height[µV]	38-Max[µV]	38-Amplitude[µV]	26-Min[µV]	26-Height[µV]	26-Max[µV]	26-Amplitude[µV]	17-Min[µV]	17-Height[µV]	17-Max[µV]	17-Amplitude[µV]	27-Min[µV]	27-Height[µV]	27-Max[µV]	27-Amplitude[µV]	36-Min[µV]	36-Height[µV]	36-Max[µV]	36-Amplitude[µV]	45-Min[µV]	45-Height[µV]	45-Max[µV]	45-Amplitude[µV]	46-Min[µV]	46-Height[µV]	46-Max[µV]	46-Amplitude[µV]	48-Min[µV]	48-Height[µV]	48-Max[µV]	48-Amplitude[µV]	47-Min[µV]	47-Height[µV]	47-Max[µV]	47-Amplitude[µV]	15-Min[µV]	15-Height[µV]	15-Max[µV]	15-Amplitude[µV]	25-Min[µV]	25-Height[µV]	25-Max[µV]	25-Amplitude[µV]	35-Min[µV]	35-Height[µV]	35-Max[µV]	35-Amplitude[µV]	16-Min[µV]	16-Height[µV]	16-Max[µV]	16-Amplitude[µV]	58-Min[µV]	58-Height[µV]	58-Max[µV]	58-Amplitude[µV]	74-Min[µV]	74-Height[µV]	74-Max[µV]	74-Amplitude[µV]	57-Min[µV]	57-Height[µV]	57-Max[µV]	57-Amplitude[µV]	86-Min[µV]	86-Height[µV]	86-Max[µV]	86-Amplitude[µV]	65-Min[µV]	65-Height[µV]	65-Max[µV]	65-Amplitude[µV]	75-Min[µV]	75-Height[µV]	75-Max[µV]	75-Amplitude[µV]	85-Min[µV]	85-Height[µV]	85-Max[µV]	85-Amplitude[µV]	56-Min[µV]	56-Height[µV]	56-Max[µV]	56-Amplitude[µV]	64-Min[µV]	64-Height[µV]	64-Max[µV]	64-Amplitude[µV]	72-Min[µV]	72-Height[µV]	72-Max[µV]	72-Amplitude[µV]	82-Min[µV]	82-Height[µV]	82-Max[µV]	82-Amplitude[µV]	73-Min[µV]	73-Height[µV]	73-Max[µV]	73-Amplitude[µV]	83-Min[µV]	83-Height[µV]	83-Max[µV]	83-Amplitude[µV]	84-Min[µV]	84-Height[µV]	84-Max[µV]	84-Amplitude[µV]	66-Min[µV]	66-Height[µV]	66-Max[µV]	66-Amplitude[µV]	77-Min[µV]	77-Height[µV]	77-Max[µV]	77-Amplitude[µV]	87-Min[µV]	87-Height[µV]	87-Max[µV]	87-Amplitude[µV]	76-Min[µV]	76-Height[µV]	76-Max[µV]	76-Amplitude[µV]	61-Min[µV]	61-Height[µV]	61-Max[µV]	61-Amplitude[µV]	62-Min[µV]	62-Height[µV]	62-Max[µV]	62-Amplitude[µV]	71-Min[µV]	71-Height[µV]	71-Max[µV]	71-Amplitude[µV]	63-Min[µV]	63-Height[µV]	63-Max[µV]	63-Amplitude[µV]	55-Min[µV]	55-Height[µV]	55-Max[µV]	55-Amplitude[µV]	68-Min[µV]	68-Height[µV]	68-Max[µV]	68-Amplitude[µV]	67-Min[µV]	67-Height[µV]	67-Max[µV]	67-Amplitude[µV]	78-Min[µV]	78-Height[µV]	78-Max[µV]	78-Amplitude[µV]	52-Min[µV]	52-Height[µV]	52-Max[µV]	52-Amplitude[µV]	51-Min[µV]	51-Height[µV]	51-Max[µV]	51-Amplitude[µV]	53-Min[µV]	53-Height[µV]	53-Max[µV]	53-Amplitude[µV]	54-Min[µV]	54-Height[µV]	54-Max[µV]	54-Amplitude[µV]
1.000	-11.818	16.364	4.545	-3.636	-12.727	17.727	5.000	-4.432	-13.182	16.364	3.182	-4.432	-20.455	35.000	14.545	-3.750	-20.455	33.182	12.727	-4.205	-91.818	176.818	85.000	-4.318	-82.727	151.364	68.636	-3.864	-13.636	16.818	3.182	-4.545	-10.909	16.364	5.455	-2.727	-82.273	168.182	85.909	2.386	-30.000	53.182	23.182	-3.409	-95.455	164.091	68.636	-7.386	-19.091	34.091	15.000	-3.295	-11.364	16.364	5.000	-3.409	-22.273	35.455	13.182	-3.295	-82.273	168.182	85.909	2.386	-30.000	53.182	23.182	-3.409	-95.455	164.091	68.636	-7.386	-20.455	33.182	12.727	-4.205	-91.818	176.818	85.000	-4.318	-82.727	151.364	68.636	-3.864	-22.273	35.455	13.182	-3.295	-19.091	34.091	15.000	-3.295	-22.273	33.636	11.364	-4.886	-133.182	224.545	91.364	4.432	-100.455	174.545	74.091	-9.091	-13.182	16.364	3.182	-4.432	-11.818	16.364	4.545	-3.636	-13.636	16.818	3.182	-4.545	-20.455	35.000	14.545	-3.750	-13.182	17.727	4.545	-4.886	-12.273	17.727	5.455	-3.636	-11.818	16.818	5.000	-2.727	-28.182	55.000	26.818	-4.432	-27.727	50.455	22.727	-2.955	-35.000	58.636	23.636	-5.455	-31.818	55.000	23.182	-5.568	-12.273	18.636	6.364	-3.295	-13.636	19.091	5.455	-4.659	-23.636	36.818	13.182	-4.659	-30.000	52.727	22.727	-4.886	-33.182	58.182	25.000	-5.000	-81.364	153.182	71.818	1.364	-13.636	19.545	5.909	-4.659	-36.364	63.636	27.273	-4.318	-28.182	52.727	24.545	-2.386	-34.091	56.818	22.727	-6.023	-39.545	64.091	24.545	-3.068	-81.818	158.182	76.364	-2.841	-35.455	61.818	26.364	-4.886	-36.818	67.727	30.909	-5.568	-80.000	149.545	69.545	-2.955	-34.091	59.091	25.000	-5.227	-34.091	61.364	27.273	-3.523	-36.364	60.909	24.545	-5.455	-40.000	65.909	25.909	-4.205	-44.545	74.545	30.000	-5.341	-40.455	73.182	32.727	-3.182	-35.455	62.273	26.818	-3.636	-42.273	83.636	41.364	-3.750	
2.000	-9.545	11.818	2.273	-3.523	-10.909	12.727	1.818	-4.205	-10.909	11.818	0.909	-4.432	-20.909	33.636	12.727	-4.545	-21.364	34.091	12.727	-5.000	-90.909	169.091	78.182	-2.955	-97.273	180.000	82.727	-11.705	-10.909	13.182	2.273	-4.318	-10.000	13.182	3.182	-2.841	-96.364	177.273	80.909	-8.068	-30.909	58.636	27.727	-3.409	-83.636	161.818	78.182	-3.295	-22.727	33.636	10.909	-4.091	-9.545	11.818	2.273	-3.523	-20.455	32.273	11.818	-3.864	-96.364	177.273	80.909	-8.068	-30.909	58.636	27.727	-3.409	-83.636	161.818	78.182	-3.295	-21.364	34.091	12.727	-5.000	-90.909	169.091	78.182	-2.955	-97.273	180.000	82.727	-11.705	-20.455	32.273	11.818	-3.864	-22.727	33.636	10.909	-4.091	-21.364	30.455	9.091	-5.341	-177.273	289.091	111.818	-13.636	-71.818	164.545	92.727	2.614	-10.909	11.818	0.909	-4.432	-9.545	11.818	2.273	-3.523	-10.909	13.182	2.273	-4.318	-20.909	33.636	12.727	-4.545	-11.818	13.636	1.818	-5.227	-10.000	13.636	3.636	-3.636	-8.636	12.273	3.636	-2.614	-32.273	54.545	22.273	-4.773	-31.818	59.091	27.273	-2.955	-31.364	54.545	23.182	-3.750	-30.909	54.545	23.636	-3.523	-10.455	13.636	3.182	-3.295	-10.909	11.818	0.909	-4.545	-20.909	32.273	11.364	-5.341	-26.364	52.273	25.909	-2.727	-34.091	59.091	25.000	-3.750	-72.273	139.545	67.273	-5.114	-10.909	12.273	1.364	-4.773	-36.818	59.545	22.727	-4.773	-35.000	60.000	25.000	-3.182	-31.818	54.545	22.727	-4.318	-29.091	61.818	32.727	-2.386	-98.182	182.727	84.545	-4.205	-30.909	60.455	29.545	-0.795	-35.000	55.909	20.909	-4.886	-84.091	178.182	94.091	-4.773	-35.000	60.909	25.909	-3.750	-31.818	58.182	26.364	-3.182	-31.364	59.091	27.727	-2.841	-33.182	60.000	26.818	-2.727	-36.818	65.000	28.182	-4.091	-34.091	62.727	28.636	-2.614	-36.818	64.091	27.273	-3.977	-45.909	81.818	35.909	-2.727	
3.000	-9.091	10.909	1.818	-3.750	-10.455	11.818	1.364	-4.432	-10.455	11.364	0.909	-4.318	-23.182	35.455	12.273	-3.636	-22.273	33.636	11.364	-4.318	-97.273	179.545	82.273	-3.636	-89.091	136.364	47.273	-23.750	-10.909	12.727	1.818	-4.432	-8.182	12.727	4.545	-2.727	-82.273	169.545	87.273	-4.659	-32.273	58.636	26.364	-3.636	-78.636	157.273	78.636	-5.909	-19.091	29.545	10.455	-3.295	-10.000	12.727	2.727	-3.523	-22.273	37.273	15.000	-3.182	-82.273	169.545	87.273	-4.659	-32.273	58.636	26.364	-3.636	-78.636	157.273	78.636	-5.909	-22.273	33.636	11.364	-4.318	-97.273	179.545	82.273	-3.636	-89.091	136.364	47.273	-23.750	-22.273	37.273	15.000	-3.182	-19.091	29.545	10.455	-3.295	-20.455	31.818	11.364	-4.545	-176.364	242.273	65.909	-76.705	-89.091	179.091	90.000	-8.182	-10.455	11.364	0.909	-4.318	-9.091	10.909	1.818	-3.750	-10.909	12.727	1.818	-4.432	-23.182	35.455	12.273	-3.636	-11.364	12.273	0.909	-5.227	-9.545	12.727	3.182	-3.523	-8.182	11.818	3.636	-2.727	-29.545	59.545	30.000	-3.750	-35.000	57.727	22.727	-5.114	-31.364	53.636	22.273	-4.318	-34.091	58.182	24.091	-4.318	-10.000	13.182	3.182	-3.295	-10.455	11.818	1.364	-4.659	-20.455	28.636	8.182	-4.773	-29.545	51.818	22.273	-3.636	-35.000	57.273	22.273	-5.682	-80.909	166.818	85.909	-0.568	-11.364	13.182	1.818	-4.545	-43.636	67.727	24.091	-6.023	-30.455	53.636	23.182	-3.295	-32.273	51.818	19.545	-5.114	-27.727	53.636	25.909	-1.364	-90.000	183.182	93.182	-5.227	-35.000	61.818	26.818	-4.091	-34.091	59.091	25.000	-6.364	-77.727	167.727	90.000	-2.500	-38.182	63.636	25.455	-5.000	-29.545	56.818	27.273	-3.977	-35.455	61.818	26.364	-4.318	-33.182	59.091	25.909	-3.977	-39.545	67.273	27.727	-3.864	-35.909	70.455	34.545	-3.182	-38.636	65.455	26.818	-4.545	-39.091	74.091	35.000	-3.068	
4.000	-10.455	15.000	4.545	-3.750	-10.000	12.273	2.273	-4.432	-9.545	10.909	1.364	-4.432	-20.455	31.364	10.909	-3.864	-21.364	31.818	10.455	-4.318	-87.727	170.000	82.273	-3.977	-57.273	176.818	119.545	23.636	-10.455	12.273	1.818	-4.318	-9.545	13.182	3.636	-2.955	-74.091	160.909	86.818	-2.386	-29.091	53.182	24.091	-3.636	-73.182	175.000	101.818	1.023	-17.273	28.636	11.364	-3.409	-10.000	12.273	2.273	-3.523	-20.455	32.727	12.273	-3.409	-74.091	160.909	86.818	-2.386	-29.091	53.182	24.091	-3.636	-73.182	175.000	101.818	1.023	-21.364	31.818	10.455	-4.318	-87.727	170.000	82.273	-3.977	-57.273	176.818	119.545	23.636	-20.455	32.727	12.273	-3.409	-17.273	28.636	11.364	-3.409	-21.818	33.182	11.364	-4.886	-145.455	335.455	190.000	34.205	-96.818	205.455	108.636	-9.091	-9.545	10.909	1.364	-4.432	-10.455	15.000	4.545	-3.750	-10.455	12.273	1.818	-4.318	-20.455	31.364	10.909	-3.864	-11.364	13.182	1.818	-5.227	-10.000	11.818	1.818	-3.750	-8.182	11.364	3.182	-2.727	-30.909	57.273	26.364	-3.636	-38.636	65.000	26.364	-4.773	-27.727	51.364	23.636	-3.523	-27.727	55.909	28.182	-2.500	-10.000	13.182	3.182	-3.409	-11.364	13.182	1.818	-4.659	-24.091	35.455	11.364	-4.545	-31.818	63.182	31.364	-3.182	-29.545	50.909	21.364	-4.659	-86.364	197.727	111.364	-6.250	-10.909	12.273	1.364	-4.659	-31.818	58.182	26.364	-4.205	-25.000	50.000	25.000	-2.614	-30.909	53.636	22.727	-4.318	-31.364	63.182	31.818	-2.614	-80.000	174.091	94.091	-3.750	-35.909	70.000	34.091	-2.841	-32.727	56.818	24.091	-4.432	-81.364	172.727	91.364	-3.523	-30.909	60.000	29.091	-3.182	-29.545	60.909	31.364	-2.727	-32.727	65.455	32.727	-2.386	-33.636	62.273	28.636	-2.159	-36.364	79.091	42.727	-3.864	-40.455	70.455	30.000	-3.523	-38.636	75.000	36.364	-3.182	-46.364	88.636	42.273	-2.955	
5.000	-13.636	20.000	6.364	-3.750	-13.636	17.273	3.636	-4.318	-12.273	15.455	3.182	-4.545	-22.273	33.182	10.909	-4.205	-21.818	32.727	10.909	-4.773	-91.818	177.273	85.455	-3.977	-60.909	148.636	87.727	16.250	-12.727	17.273	4.545	-4.318	-11.818	18.182	6.364	-2.955	-92.273	175.000	82.727	-4.886	-32.727	58.182	25.455	-3.636	-83.182	158.636	75.455	-6.364	-22.273	33.182	10.909	-3.750	-12.273	17.273	5.000	-3.636	-22.273	35.000	12.727	-3.864	-92.273	175.000	82.727	-4.886	-32.727	58.182	25.455	-3.636	-83.182	158.636	75.455	-6.364	-21.818	32.727	10.909	-4.773	-91.818	177.273	85.455	-3.977	-60.909	148.636	87.727	16.250	-22.273	35.000	12.727	-3.864	-22.273	33.182	10.909	-3.750	-22.727	31.818	9.091	-5.114	-139.545	254.091	114.545	-14.318	-94.091	164.545	70.455	-10.795	-12.273	15.455	3.182	-4.545	-13.636	20.000	6.364	-3.750	-12.727	17.273	4.545	-4.318	-22.273	33.182	10.909	-4.205	-13.636	17.273	3.636	-5.227	-13.182	19.091	5.909	-3.750	-10.909	17.273	6.364	-2.841	-30.000	54.545	24.545	-4.545	-30.455	54.545	24.091	-3.295	-30.909	52.727	21.818	-3.636	-30.909	53.182	22.273	-5.000	-12.273	18.636	6.364	-3.295	-16.818	21.818	5.000	-4.659	-25.000	35.000	10.000	-5.227	-31.364	58.636	27.273	-3.409	-34.091	56.818	22.727	-4.205	-80.909	164.091	83.182	-4.432	-14.545	18.182	3.636	-4.773	-37.727	64.091	26.364	-4.773	-34.091	59.091	25.000	-3.295	-34.091	57.727	23.636	-4.886	-31.364	56.818	25.455	-4.205	-88.182	157.727	69.545	-4.659	-36.364	67.273	30.909	-2.955	-32.273	57.273	25.000	-5.227	-88.182	165.909	77.727	-3.523	-36.818	59.545	22.727	-4.659	-36.818	64.091	27.273	-3.182	-33.636	60.000	26.364	-5.341	-35.455	70.909	35.455	-3.409	-39.545	71.818	32.273	-4.205	-34.091	61.818	27.727	-4.659	-34.545	60.455	25.909	-3.864	-45.455	89.545	44.091	-2.841	
6.000	-9.545	11.818	2.273	-3.864	-10.909	11.818	0.909	-4.432	-10.455	12.273	1.818	-4.432	-18.182	30.455	12.273	-3.409	-18.636	30.455	11.818	-4.091	-98.182	171.364	73.182	-3.864	-82.727	160.909	78.182	2.614	-10.455	11.364	0.909	-4.545	-8.636	11.364	2.727	-2.841	-89.091	155.455	66.364	-7.159	-31.364	53.636	22.273	-3.750	-79.545	144.545	65.000	-6.023	-18.636	30.000	11.364	-3.182	-8.636	10.909	2.273	-3.636	-17.273	30.000	12.727	-2.955	-89.091	155.455	66.364	-7.159	-31.364	53.636	22.273	-3.750	-79.545	144.545	65.000	-6.023	-18.636	30.455	11.818	-4.091	-98.182	171.364	73.182	-3.864	-82.727	160.909	78.182	2.614	-17.273	30.000	12.727	-2.955	-18.636	30.000	11.364	-3.182	-21.364	32.273	10.909	-4.432	-175.000	278.182	103.182	-40.114	-90.000	163.182	73.182	-6.023	-10.455	12.273	1.818	-4.432	-9.545	11.818	2.273	-3.864	-10.455	11.364	0.909	-4.545	-18.182	30.455	12.273	-3.409	-11.364	13.182	1.818	-5.000	-10.000	12.273	2.273	-3.636	-10.000	13.182	3.182	-2.955	-31.364	55.000	23.636	-4.432	-31.818	52.727	20.909	-3.864	-29.545	50.000	20.455	-4.886	-35.909	57.727	21.818	-4.432	-9.545	12.273	2.727	-3.523	-10.909	12.273	1.364	-4.659	-19.091	30.909	11.818	-4.318	-29.091	51.364	22.273	-3.068	-29.091	50.909	21.818	-5.682	-90.000	161.818	71.818	-4.659	-10.455	11.818	1.364	-4.659	-30.909	55.909	25.000	-5.455	-31.364	55.909	24.545	-3.295	-31.818	50.000	18.182	-5.909	-29.091	59.545	30.455	-2.955	-78.182	153.182	75.000	-3.750	-31.818	56.818	25.000	-3.409	-31.364	53.182	21.818	-5.455	-86.364	156.818	70.455	-3.636	-31.818	56.364	24.545	-4.886	-34.091	59.545	25.455	-4.773	-36.818	62.727	25.909	-6.591	-30.909	58.182	27.273	-3.636	-39.091	65.909	26.818	-4.545	-32.727	62.273	29.545	-3.977	-36.364	59.091	22.727	-5.682	-46.818	91.364	44.545	-4.432	
7.000	-10.455	13.182	2.727	-3.750	-10.909	13.182	2.273	-4.318	-10.455	13.636	3.182	-4.432	-17.273	30.455	13.182	-3.295	-19.545	30.909	11.364	-3.864	-91.818	164.091	72.273	-3.864	-95.455	175.909	80.455	-13.523	-10.455	12.273	1.818	-4.432	-8.636	11.818	3.182	-2.841	-80.909	160.455	79.545	-5.227	-30.000	54.545	24.545	-3.523	-75.455	151.818	76.364	-1.136	-18.182	29.091	10.909	-2.841	-10.000	12.273	2.273	-3.523	-18.636	31.364	12.727	-2.955	-80.909	160.455	79.545	-5.227	-30.000	54.545	24.545	-3.523	-75.455	151.818	76.364	-1.136	-19.545	30.909	11.364	-3.864	-91.818	164.091	72.273	-3.864	-95.455	175.909	80.455	-13.523	-18.636	31.364	12.727	-2.955	-18.182	29.091	10.909	-2.841	-18.636	28.636	10.000	-4.091	-139.545	310.000	170.455	37.955	-80.455	154.545	74.091	-3.750	-10.455	13.636	3.182	-4.432	-10.455	13.182	2.727	-3.750	-10.455	12.273	1.818	-4.432	-17.273	30.455	13.182	-3.295	-11.364	12.273	0.909	-5.455	-9.545	11.364	1.818	-3.750	-8.636	10.909	2.273	-2.841	-32.273	54.545	22.273	-4.886	-30.909	55.909	25.000	-3.182	-29.091	54.091	25.000	-4.773	-29.091	50.455	21.364	-3.182	-9.091	11.818	2.727	-3.409	-11.364	12.727	1.364	-4.659	-18.636	28.636	10.000	-4.318	-31.364	55.909	24.545	-4.091	-30.909	53.182	22.273	-3.636	-83.182	155.455	72.273	-4.432	-11.818	13.636	1.818	-4.886	-33.182	59.545	26.364	-2.841	-28.636	55.455	26.818	-3.068	-30.909	59.091	28.182	-4.432	-28.636	56.364	27.727	-2.614	-84.091	157.273	73.182	-4.886	-30.909	64.091	33.182	-2.500	-32.727	59.091	26.364	-4.091	-81.818	153.182	71.364	-4.432	-33.636	61.364	27.727	-5.000	-34.091	64.545	30.455	-2.386	-35.000	62.727	27.727	-4.659	-38.182	69.545	31.364	-3.409	-37.273	68.182	30.909	-3.750	-35.000	65.000	30.000	-4.205	-33.182	56.364	23.182	-3.409	-41.364	84.091	42.727	-1.591	
8.000	-10.909	13.636	2.727	-3.636	-10.909	12.273	1.364	-4.432	-10.909	12.273	1.364	-4.432	-21.364	31.818	10.455	-4.432	-22.727	33.636	10.909	-5.000	-101.818	181.818	80.000	-3.636	-109.091	165.909	56.818	-27.727	-10.000	11.364	1.364	-4.432	-8.182	11.364	3.182	-2.841	-83.182	170.909	87.727	-2.500	-32.727	55.909	23.182	-3.523	-87.727	165.455	77.727	-7.386	-20.455	31.364	10.909	-3.864	-9.545	11.818	2.273	-3.523	-25.000	35.909	10.909	-4.091	-83.182	170.909	87.727	-2.500	-32.727	55.909	23.182	-3.523	-87.727	165.455	77.727	-7.386	-22.727	33.636	10.909	-5.000	-101.818	181.818	80.000	-3.636	-109.091	165.909	56.818	-27.727	-25.000	35.909	10.909	-4.091	-20.455	31.364	10.909	-3.864	-21.364	30.000	8.636	-5.455	-176.364	291.818	115.455	-4.886	-84.545	168.182	83.636	-6.023	-10.909	12.273	1.364	-4.432	-10.909	13.636	2.727	-3.636	-10.000	11.364	1.364	-4.432	-21.364	31.818	10.455	-4.432	-10.909	11.818	0.909	-5.227	-9.091	11.364	2.273	-3.636	-9.545	13.182	3.636	-2.727	-27.727	52.273	24.545	-4.545	-32.727	56.364	23.636	-3.864	-31.364	52.727	21.364	-5.455	-29.091	52.727	23.636	-4.886	-10.000	13.636	3.636	-3.295	-10.000	11.364	1.364	-4.659	-21.364	31.364	10.000	-5.341	-28.182	53.182	25.000	-4.432	-35.909	63.182	27.273	-4.091	-77.273	158.182	80.909	2.273	-10.455	12.727	2.273	-4.545	-32.727	52.273	19.545	-5.114	-29.545	53.636	24.091	-2.727	-31.364	59.545	28.182	-4.886	-35.455	62.273	26.818	-2.273	-85.909	181.818	95.909	-5.341	-32.727	58.636	25.909	-3.977	-31.818	53.636	21.818	-5.000	-76.818	160.455	83.636	-2.841	-37.273	67.727	30.455	-6.023	-33.182	59.545	26.364	-2.727	-36.818	61.818	25.000	-6.591	-36.364	61.818	25.455	-3.295	-41.364	71.818	30.455	-5.114	-33.636	59.545	25.909	-3.182	-39.091	70.455	31.364	-4.432	-40.909	75.909	35.000	-4.773	
9.000	-10.909	15.455	4.545	-3.636	-12.727	16.364	3.636	-4.205	-11.818	16.364	4.545	-4.432	-19.091	54.091	35.000	-3.409	-19.091	50.909	31.818	-3.977	-217.727	309.091	91.364	-4.318	-239.091	425.000	185.909	16.705	-12.727	16.364	3.636	-4.432	-10.909	16.364	5.455	-2.727	-259.091	376.818	117.727	-6.250	-43.636	65.455	21.818	-3.750	-267.727	348.636	80.909	-30.795	-17.727	51.818	34.091	-3.295	-11.364	16.364	5.000	-3.295	-17.273	54.091	36.818	-2.955	-259.091	376.818	117.727	-6.250	-43.636	65.455	21.818	-3.750	-267.727	348.636	80.909	-30.795	-19.091	50.909	31.818	-3.977	-217.727	309.091	91.364	-4.318	-239.091	425.000	185.909	16.705	-17.273	54.091	36.818	-2.955	-17.727	51.818	34.091	-3.295	-20.909	55.000	34.091	-4.545	-387.273	543.182	155.909	-14.545	-270.909	346.818	75.909	-32.614	-11.818	16.364	4.545	-4.432	-10.909	15.455	4.545	-3.636	-12.727	16.364	3.636	-4.432	-19.091	54.091	35.000	-3.409	-13.182	15.909	2.727	-5.114	-12.273	17.273	5.000	-3.523	-11.818	17.727	5.909	-2.727	-58.182	80.455	22.273	-7.386	-50.909	70.909	20.000	-7.045	-65.455	88.636	23.182	-8.523	-55.909	79.545	23.636	-6.932	-11.364	16.818	5.455	-3.409	-13.636	17.273	3.636	-4.432	-19.545	53.182	33.636	-4.432	-63.636	87.727	24.091	-7.159	-60.909	89.091	28.182	-7.727	-252.273	375.455	123.182	-10.795	-14.091	19.091	5.000	-4.659	-82.273	106.364	24.091	-10.795	-61.818	82.727	20.909	-6.705	-59.091	80.455	21.364	-7.955	-64.091	89.091	25.000	-7.159	-223.636	301.818	78.182	-11.364	-79.091	108.636	29.545	-6.477	-60.455	80.000	19.545	-9.773	-171.364	257.727	86.364	-8.295	-66.364	95.455	29.091	-8.523	-63.636	89.545	25.909	-8.750	-71.364	95.000	23.636	-10.795	-78.182	104.091	25.909	-9.318	-83.636	110.909	27.273	-10.227	-79.091	105.909	26.818	-10.114	-84.091	109.091	25.000	-10.455	-84.091	123.636	39.545	-9.091	
10.000	-9.091	12.273	3.182	-3.636	-10.455	11.818	1.364	-4.318	-10.455	11.364	0.909	-4.545	-20.909	32.273	11.364	-4.545	-20.909	32.727	11.818	-5.000	-87.727	169.091	81.364	-2.955	-20.000	176.364	156.364	58.977	-10.000	11.818	1.818	-4.318	-8.636	11.818	3.182	-2.841	-89.545	175.455	85.909	-1.932	-32.273	53.182	20.909	-3.409	-66.818	159.091	92.273	9.545	-19.545	32.727	13.182	-3.977	-10.000	12.727	2.727	-3.523	-20.455	32.727	12.273	-3.977	-89.545	175.455	85.909	-1.932	-32.273	53.182	20.909	-3.409	-66.818	159.091	92.273	9.545	-20.909	32.727	11.818	-5.000	-87.727	169.091	81.364	-2.955	-20.000	176.364	156.364	58.977	-20.455	32.727	12.273	-3.977	-19.545	32.727	13.182	-3.977	-20.909	33.182	12.273	-5.455	-53.636	189.545	135.909	38.977	-74.091	160.909	86.818	4.659	-10.455	11.364	0.909	-4.545	-9.091	12.273	3.182	-3.636	-10.000	11.818	1.818	-4.318	-20.909	32.273	11.364	-4.545	-11.364	12.727	1.364	-5.114	-10.455	12.727	2.273	-3.523	-8.636	11.818	3.182	-2.727	-31.818	55.000	23.182	-4.659	-26.818	50.455	23.636	-1.591	-27.727	52.273	24.545	-2.727	-30.000	51.818	21.818	-2.386	-9.545	12.273	2.727	-3.295	-12.727	15.455	2.727	-4.886	-20.455	30.000	9.545	-5.455	-30.455	53.636	23.182	-2.727	-31.818	54.091	22.273	-3.295	-92.273	164.545	72.273	-3.636	-11.818	12.727	0.909	-4.659	-33.182	61.364	28.182	-3.068	-30.455	53.636	23.182	-2.273	-34.091	56.364	22.273	-3.636	-32.273	60.909	28.636	-0.795	-95.909	190.909	95.000	-0.795	-31.364	61.818	30.455	-0.227	-30.455	54.091	23.636	-3.295	-75.455	157.273	81.818	-2.159	-29.545	54.091	24.545	-2.500	-32.273	60.909	28.636	-1.136	-35.909	64.091	28.182	-3.864	-29.545	60.000	30.455	0.000	-35.000	65.000	30.000	-1.364	-34.545	62.273	27.727	-1.364	-37.727	66.818	29.091	-2.159	-39.545	78.182	38.636	-0.795	
