T[s]	25-Min[µV]	25-Height[µV]	25-Max[µV]	25-Amplitude[µV]	24-Min[µV]	24-Height[µV]	24-Max[µV]	24-Amplitude[µV]	15-Min[µV]	15-Height[µV]	15-Max[µV]	15-Amplitude[µV]	16-Min[µV]	16-Height[µV]	16-Max[µV]	16-Amplitude[µV]	26-Min[µV]	26-Height[µV]	26-Max[µV]	26-Amplitude[µV]	17-Min[µV]	17-Height[µV]	17-Max[µV]	17-Amplitude[µV]	27-Min[µV]	27-Height[µV]	27-Max[µV]	27-Amplitude[µV]	35-Min[µV]	35-Height[µV]	35-Max[µV]	35-Amplitude[µV]	34-Min[µV]	34-Height[µV]	34-Max[µV]	34-Amplitude[µV]	28-Min[µV]	28-Height[µV]	28-Max[µV]	28-Amplitude[µV]	37-Min[µV]	37-Height[µV]	37-Max[µV]	37-Amplitude[µV]	38-Min[µV]	38-Height[µV]	38-Max[µV]	38-Amplitude[µV]	45-Min[µV]	45-Height[µV]	45-Max[µV]	45-Amplitude[µV]	14-Min[µV]	14-Height[µV]	14-Max[µV]	14-Amplitude[µV]	36-Min[µV]	36-Height[µV]	36-Max[µV]	36-Amplitude[µV]	28-Min[µV]	28-Height[µV]	28-Max[µV]	28-Amplitude[µV]	37-Min[µV]	37-Height[µV]	37-Max[µV]	37-Amplitude[µV]	38-Min[µV]	38-Height[µV]	38-Max[µV]	38-Amplitude[µV]	26-Min[µV]	26-Height[µV]	26-Max[µV]	26-Amplitude[µV]	17-Min[µV]	17-Height[µV]	17-Max[µV]	17-Amplitude[µV]	27-Min[µV]	27-Height[µV]	27-Max[µV]	27-Amplitude[µV]	36-Min[µV]	36-Height[µV]	36-Max[µV]	36-Amplitude[µV]	45-Min[µV]	45-Height[µV]	45-Max[µV]	45-Amplitude[µV]	46-Min[µV]	46-Height[µV]	46-Max[µV]	46-Amplitude[µV]	48-Min[µV]	48-Height[µV]	48-Max[µV]	48-Amplitude[µV]	47-Min[µV]	47-Height[µV]	47-Max[µV]	47-Amplitude[µV]	15-Min[µV]	15-Height[µV]	15-Max[µV]	15-Amplitude[µV]	25-Min[µV]	25-Height[µV]	25-Max[µV]	25-Amplitude[µV]	35-Min[µV]	35-Height[µV]	35-Max[µV]	35-Amplitude[µV]	16-Min[µV]	16-Height[µV]	16-Max[µV]	16-Amplitude[µV]	58-Min[µV]	58-Height[µV]	58-Max[µV]	58-Amplitude[µV]	74-Min[µV]	74-Height[µV]	74-Max[µV]	74-Amplitude[µV]	57-Min[µV]	57-Height[µV]	57-Max[µV]	57-Amplitude[µV]	86-Min[µV]	86-Height[µV]	86-Max[µV]	86-Amplitude[µV]	65-Min[µV]	65-Height[µV]	65-Max[µV]	65-Amplitude[µV]	75-Min[µV]	75-Height[µV]	75-Max[µV]	75-Amplitude[µV]	85-Min[µV]	85-Height[µV]	85-Max[µV]	85-Amplitude[µV]	56-Min[µV]	56-Height[µV]	56-Max[µV]	56-Amplitude[µV]	64-Min[µV]	64-Height[µV]	64-Max[µV]	64-Amplitude[µV]	72-Min[µV]	72-Height[µV]	72-Max[µV]	72-Amplitude[µV]	82-Min[µV]	82-Height[µV]	82-Max[µV]	82-Amplitude[µV]	73-Min[µV]	73-Height[µV]	73-Max[µV]	73-Amplitude[µV]	83-Min[µV]	83-Height[µV]	83-Max[µV]	83-Amplitude[µV]	84-Min[µV]	84-Height[µV]	84-Max[µV]	84-Amplitude[µV]	66-Min[µV]	66-Height[µV]	66-Max[µV]	66-Amplitude[µV]	77-Min[µV]	77-Height[µV]	77-Max[µV]	77-Amplitude[µV]	87-Min[µV]	87-Height[µV]	87-Max[µV]	87-Amplitude[µV]	76-Min[µV]	76-Height[µV]	76-Max[µV]	76-Amplitude[µV]	61-Min[µV]	61-Height[µV]	61-Max[µV]	61-Amplitude[µV]	62-Min[µV]	62-Height[µV]	62-Max[µV]	62-Amplitude[µV]	71-Min[µV]	71-Height[µV]	71-Max[µV]	71-Amplitude[µV]	63-Min[µV]	63-Height[µV]	63-Max[µV]	63-Amplitude[µV]	55-Min[µV]	55-Height[µV]	55-Max[µV]	55-Amplitude[µV]	68-Min[µV]	68-Height[µV]	68-Max[µV]	68-Amplitude[µV]	67-Min[µV]	67-Height[µV]	67-Max[µV]	67-Amplitude[µV]	78-Min[µV]	78-Height[µV]	78-Max[µV]	78-Amplitude[µV]	52-Min[µV]	52-Height[µV]	52-Max[µV]	52-Amplitude[µV]	51-Min[µV]	51-Height[µV]	51-Max[µV]	51-Amplitude[µV]	53-Min[µV]	53-Height[µV]	53-Max[µV]	53-Amplitude[µV]	54-Min[µV]	54-Height[µV]	54-Max[µV]	54-Amplitude[µV]
1.000	-13.182	11.818	-1.364	-6.932	-89.545	173.636	84.091	-4.318	-13.182	11.818	-1.364	-7.614	-35.000	57.727	22.727	-6.932	-87.727	151.818	64.091	-14.659	-33.636	56.364	22.727	-6.477	-17.727	29.545	11.818	-4.091	-13.182	10.909	-2.273	-7.727	-16.818	28.636	11.818	-2.500	-85.000	159.091	74.091	-3.068	-43.182	67.727	24.545	-7.614	-43.636	73.182	29.545	-7.386	-38.182	65.909	27.727	-7.159	-50.000	148.182	98.182	26.591	-19.091	30.455	11.364	-2.955	-85.000	159.091	74.091	-3.068	-43.182	67.727	24.545	-7.614	-43.636	73.182	29.545	-7.386	-87.727	151.818	64.091	-14.659	-33.636	56.364	22.727	-6.477	-17.727	29.545	11.818	-4.091	-19.091	30.455	11.364	-2.955	-38.182	65.909	27.727	-7.159	-39.091	68.636	29.545	-7.614	-44.545	71.364	26.818	-6.477	-49.091	84.091	35.000	-7.045	-13.182	11.818	-1.364	-7.614	-13.182	11.818	-1.364	-6.932	-13.182	10.909	-2.273	-7.727	-35.000	57.727	22.727	-6.932	-11.818	14.091	2.273	-5.795	-106.364	165.909	59.545	-22.955	-8.636	12.727	4.091	-2.841	-35.000	58.636	23.636	-4.773	-31.818	58.636	26.818	-3.523	-33.636	63.182	29.545	-2.841	-71.818	146.818	75.000	0.682	-10.455	12.727	2.273	-4.205	-97.727	168.636	70.909	-21.023	-91.818	173.636	81.818	-6.364	-85.909	167.273	81.364	-2.727	-95.000	160.455	65.455	-12.841	-69.545	144.545	75.000	2.273	-55.000	145.909	90.909	21.364	-35.909	66.364	30.455	-4.205	-36.364	64.091	27.727	-2.727	-38.636	64.091	25.455	-5.682	-39.545	63.636	24.091	-3.523	-89.545	182.727	93.182	-5.795	-101.818	190.000	88.182	-4.318	-101.818	195.455	93.636	-6.136	-109.545	173.182	63.636	-18.864	-41.364	65.000	23.636	-5.227	-32.273	60.455	28.182	-2.955	-40.455	70.909	30.455	-5.000	-41.364	69.091	27.727	-5.000	-11.364	11.364	0.000	-5.909	-10.455	11.364	0.909	-4.773	-11.364	11.818	0.455	-5.227	-72.273	135.455	63.182	-5.568	
2.000	-12.727	12.273	-0.455	-7.273	-103.636	167.273	63.636	-20.682	-14.091	12.273	-1.818	-8.182	-40.000	61.364	21.364	-6.932	-112.727	172.273	59.545	-25.682	-38.182	58.636	20.455	-8.750	-19.091	32.727	13.636	-3.864	-13.636	11.364	-2.273	-7.955	-20.455	34.091	13.636	-2.159	-74.545	155.000	80.455	-4.886	-40.909	67.273	26.364	-6.818	-45.455	68.636	23.182	-9.091	-38.182	63.182	25.000	-7.045	-140.909	279.091	138.182	-2.727	-20.909	35.455	14.545	-2.727	-74.545	155.000	80.455	-4.886	-40.909	67.273	26.364	-6.818	-45.455	68.636	23.182	-9.091	-112.727	172.273	59.545	-25.682	-38.182	58.636	20.455	-8.750	-19.091	32.727	13.636	-3.864	-20.909	35.455	14.545	-2.727	-38.182	63.182	25.000	-7.045	-38.182	70.000	31.818	-8.523	-46.364	77.727	31.364	-4.659	-41.818	77.273	35.455	-6.818	-14.091	12.273	-1.818	-8.182	-12.727	12.273	-0.455	-7.273	-13.636	11.364	-2.273	-7.955	-40.000	61.364	21.364	-6.932	-12.727	14.091	1.364	-5.682	-130.455	189.091	58.636	-42.500	-8.182	12.273	4.091	-2.841	-35.455	60.455	25.000	-5.909	-44.091	74.091	30.000	-2.500	-36.364	61.818	25.455	-4.659	-75.000	152.273	77.273	1.364	-11.364	13.182	1.818	-4.318	-97.273	166.364	69.091	-6.136	-89.545	172.273	82.727	-7.045	-90.455	295.909	205.455	26.023	-70.455	158.182	87.727	4.091	-82.273	154.091	71.818	0.455	-58.182	158.182	100.000	19.659	-41.818	68.182	26.364	-6.705	-32.273	56.364	24.091	-3.864	-36.364	62.727	26.364	-4.318	-39.545	66.818	27.273	-3.409	-104.091	195.000	90.909	-5.568	-86.818	177.273	90.455	-3.864	-91.364	175.455	84.091	-5.795	-89.545	166.364	76.818	-9.205	-35.455	59.091	23.636	-5.455	-34.545	61.818	27.273	-3.182	-34.545	65.000	30.455	-5.568	-42.727	72.273	29.545	-3.864	-12.273	12.273	0.000	-5.909	-10.909	11.818	0.909	-5.000	-11.364	11.818	0.455	-5.455	-75.909	139.545	63.636	-5.341	
3.000	-13.182	11.818	-1.364	-7.614	-88.182	160.000	71.818	-9.091	-13.636	10.909	-2.727	-8.182	-38.182	61.818	23.636	-8.636	-94.091	154.091	60.000	-20.227	-39.545	64.545	25.000	-7.273	-22.273	31.364	9.091	-5.114	-14.545	12.727	-1.818	-8.182	-19.545	31.364	11.818	-3.750	-80.455	179.545	99.091	-7.045	-39.091	66.364	27.273	-7.159	-36.364	63.636	27.273	-7.727	-35.000	62.273	27.273	-6.932	-159.545	190.909	31.364	-78.409	-20.455	30.000	9.545	-3.977	-80.455	179.545	99.091	-7.045	-39.091	66.364	27.273	-7.159	-36.364	63.636	27.273	-7.727	-94.091	154.091	60.000	-20.227	-39.545	64.545	25.000	-7.273	-22.273	31.364	9.091	-5.114	-20.455	30.000	9.545	-3.977	-35.000	62.273	27.273	-6.932	-40.909	66.364	25.455	-8.750	-42.727	74.091	31.364	-6.136	-40.455	75.000	34.545	-6.364	-13.636	10.909	-2.727	-8.182	-13.182	11.818	-1.364	-7.614	-14.545	12.727	-1.818	-8.182	-38.182	61.818	23.636	-8.636	-11.364	11.364	0.000	-5.682	-147.727	257.273	109.545	-35.682	-8.636	11.818	3.182	-2.614	-32.727	62.273	29.545	-4.091	-32.727	60.909	28.182	-5.114	-37.273	65.000	27.727	-4.659	-74.091	158.636	84.545	-7.273	-10.455	12.273	1.818	-4.205	-124.545	165.000	40.455	-45.455	-86.818	159.545	72.727	-6.818	-90.909	170.909	80.000	-3.636	-84.091	176.818	92.727	-1.818	-72.273	153.182	80.909	-4.091	-59.545	152.727	93.182	5.114	-35.909	67.727	31.818	-5.455	-36.364	67.727	31.364	-4.432	-38.182	62.727	24.545	-7.614	-37.727	65.455	27.727	-3.523	-84.545	175.909	91.364	-7.500	-82.727	174.091	91.364	-7.386	-89.091	179.545	90.455	-9.659	-95.000	172.727	77.727	-15.455	-37.273	65.000	27.727	-4.091	-32.273	58.636	26.364	-4.886	-36.818	66.364	29.545	-5.568	-45.000	78.182	33.182	-3.864	-12.727	13.636	0.909	-5.682	-10.909	11.364	0.455	-5.114	-11.818	12.273	0.455	-5.682	-71.818	139.545	67.727	-4.773	
4.000	-13.182	11.364	-1.818	-7.727	-75.000	162.273	87.273	-3.864	-14.091	10.909	-3.182	-8.409	-35.455	62.727	27.273	-6.023	-80.000	169.545	89.545	7.273	-34.545	60.909	26.364	-6.364	-23.182	37.273	14.091	-5.000	-13.636	11.364	-2.273	-8.295	-19.091	32.273	13.182	-3.182	-90.455	170.909	80.455	-5.795	-50.909	80.455	29.545	-7.159	-41.364	66.364	25.000	-7.386	-44.091	67.727	23.636	-8.750	-137.727	208.182	70.455	-28.750	-20.000	35.909	15.909	-3.864	-90.455	170.909	80.455	-5.795	-50.909	80.455	29.545	-7.159	-41.364	66.364	25.000	-7.386	-80.000	169.545	89.545	7.273	-34.545	60.909	26.364	-6.364	-23.182	37.273	14.091	-5.000	-20.000	35.909	15.909	-3.864	-44.091	67.727	23.636	-8.750	-44.091	68.182	24.091	-8.977	-45.000	76.818	31.818	-6.250	-50.909	87.727	36.818	-6.705	-14.091	10.909	-3.182	-8.409	-13.182	11.364	-1.818	-7.727	-13.636	11.364	-2.273	-8.295	-35.455	62.727	27.273	-6.023	-11.364	10.909	-0.455	-5.682	-128.636	206.818	78.182	-29.659	-7.727	10.455	2.727	-2.500	-35.909	63.636	27.727	-4.545	-40.000	65.455	25.455	-3.295	-37.273	67.727	30.455	-5.455	-86.364	163.636	77.273	-7.159	-10.909	11.818	0.909	-4.205	-110.909	175.000	64.091	-22.614	-95.000	170.909	75.909	-7.500	-108.182	160.455	52.273	-30.227	-95.455	164.091	68.636	-13.977	-71.364	146.818	75.455	1.364	-71.364	163.636	92.273	14.091	-40.455	68.636	28.182	-4.773	-36.818	62.273	25.455	-3.295	-38.636	62.273	23.636	-6.250	-44.091	75.000	30.909	-5.455	-98.636	180.455	81.818	-7.045	-93.636	177.727	84.091	-6.023	-87.273	179.091	91.818	-5.909	-108.636	205.000	96.364	-8.182	-42.273	67.727	25.455	-5.000	-41.364	69.545	28.182	-3.182	-37.727	65.455	27.727	-4.886	-45.000	76.818	31.818	-4.432	-11.818	12.727	0.909	-5.568	-10.909	12.273	1.364	-5.227	-11.818	12.727	0.909	-5.795	-76.364	136.818	60.455	-5.227	
5.000	-13.636	11.364	-2.273	-7.841	-89.091	173.182	84.091	2.159	-14.545	12.273	-2.273	-8.295	-35.909	55.909	20.000	-7.955	-95.000	190.909	95.909	6.591	-42.727	61.818	19.091	-8.864	-22.273	31.818	9.545	-4.545	-14.091	10.909	-3.182	-8.409	-18.182	27.727	9.545	-3.068	-78.636	155.909	77.273	-7.500	-40.455	70.000	29.545	-7.727	-42.727	65.000	22.273	-8.750	-35.000	61.364	26.364	-6.136	-169.091	278.182	109.091	-28.864	-19.545	29.545	10.000	-3.409	-78.636	155.909	77.273	-7.500	-40.455	70.000	29.545	-7.727	-42.727	65.000	22.273	-8.750	-95.000	190.909	95.909	6.591	-42.727	61.818	19.091	-8.864	-22.273	31.818	9.545	-4.545	-19.545	29.545	10.000	-3.409	-35.000	61.364	26.364	-6.136	-40.455	63.182	22.727	-9.318	-43.636	70.000	26.364	-6.364	-50.909	80.909	30.000	-7.273	-14.545	12.273	-2.273	-8.295	-13.636	11.364	-2.273	-7.841	-14.091	10.909	-3.182	-8.409	-35.909	55.909	20.000	-7.955	-10.909	11.818	0.909	-5.455	-114.545	211.818	97.273	-15.455	-8.636	13.182	4.545	-2.500	-40.455	63.636	23.182	-6.023	-31.364	57.273	25.909	-3.295	-30.909	56.818	25.909	-3.977	-65.455	136.364	70.909	-1.818	-10.000	12.273	2.273	-4.205	-81.364	160.909	79.545	-7.841	-89.091	165.909	76.818	-5.682	-64.091	150.909	86.818	5.909	-87.727	164.091	76.364	-0.114	-75.000	141.364	66.364	-11.023	-49.091	136.364	87.273	13.068	-37.727	64.091	26.364	-5.227	-31.364	64.091	32.727	-3.068	-35.000	63.636	28.636	-4.659	-34.545	66.364	31.818	-1.705	-89.091	172.727	83.636	-6.705	-78.636	164.545	85.909	-2.841	-84.545	160.000	75.455	-7.614	-55.000	177.727	122.727	28.409	-31.364	57.273	25.909	-3.750	-33.636	61.364	27.727	-3.409	-38.182	67.273	29.091	-6.136	-36.364	65.000	28.636	-4.205	-11.364	11.818	0.455	-5.455	-10.909	11.818	0.909	-5.455	-12.273	11.818	-0.455	-6.136	-68.182	136.364	68.182	-5.114	
6.000	-14.545	12.273	-2.273	-7.955	-83.636	204.545	120.909	-6.250	-13.636	10.909	-2.727	-8.068	-33.636	54.091	20.455	-8.409	-97.727	161.364	63.636	-18.750	-32.727	57.273	24.545	-6.818	-21.364	31.364	10.000	-5.000	-14.091	12.273	-1.818	-8.523	-20.455	31.818	11.364	-3.295	-91.818	167.727	75.909	-7.159	-46.364	77.727	31.364	-7.841	-44.091	68.636	24.545	-8.523	-39.091	63.636	24.545	-7.045	-234.091	182.727	-51.364	-145.682	-20.000	31.818	11.818	-3.864	-91.818	167.727	75.909	-7.159	-46.364	77.727	31.364	-7.841	-44.091	68.636	24.545	-8.523	-97.727	161.364	63.636	-18.750	-32.727	57.273	24.545	-6.818	-21.364	31.364	10.000	-5.000	-20.000	31.818	11.818	-3.864	-39.091	63.636	24.545	-7.045	-45.455	71.364	25.909	-7.841	-44.091	70.909	26.818	-6.364	-45.909	84.545	38.636	-6.023	-13.636	10.909	-2.727	-8.068	-14.545	12.273	-2.273	-7.955	-14.091	12.273	-1.818	-8.523	-33.636	54.091	20.455	-8.409	-11.818	12.727	0.909	-5.455	-66.364	165.909	99.545	21.591	-8.182	11.818	3.636	-2.500	-41.818	67.727	25.909	-5.568	-29.545	53.636	24.091	-2.045	-32.727	63.636	30.909	-3.977	-77.273	146.818	69.545	-3.295	-10.455	12.273	1.818	-4.205	-69.545	162.273	92.727	14.318	-99.545	180.455	80.909	-5.114	-92.727	196.818	104.091	2.159	-88.636	174.545	85.909	-8.636	-92.727	166.818	74.091	-4.886	-59.545	154.545	95.000	18.409	-39.091	69.091	30.000	-5.114	-34.091	63.636	29.545	-2.841	-41.818	72.727	30.909	-4.545	-40.455	70.455	30.000	-2.386	-96.818	184.091	87.273	-5.568	-83.636	179.091	95.455	1.818	-86.364	175.909	89.545	-1.818	-70.909	175.000	104.091	15.455	-33.636	62.273	28.636	-4.545	-33.636	62.727	29.091	-2.955	-39.545	69.545	30.000	-5.227	-42.273	81.818	39.545	-3.864	-11.364	11.818	0.455	-5.341	-11.364	11.818	0.455	-5.455	-11.818	11.818	0.000	-6.250	-75.000	153.182	78.182	-4.886	
7.000	-14.091	11.818	-2.273	-7.955	-84.091	146.818	62.727	-13.182	-14.091	12.273	-1.818	-7.955	-34.091	62.273	28.182	-6.818	-85.455	145.909	60.455	-10.568	-38.182	63.636	25.455	-8.409	-19.091	29.545	10.455	-4.205	-14.545	12.273	-2.273	-8.409	-18.182	31.818	13.636	-2.500	-80.455	155.000	74.545	-5.341	-42.273	70.000	27.727	-7.159	-43.182	68.636	25.455	-7.727	-38.182	63.636	25.455	-5.795	-252.727	202.727	-50.000	-134.773	-19.091	31.818	12.727	-3.182	-80.455	155.000	74.545	-5.341	-42.273	70.000	27.727	-7.159	-43.182	68.636	25.455	-7.727	-85.455	145.909	60.455	-10.568	-38.182	63.636	25.455	-8.409	-19.091	29.545	10.455	-4.205	-19.091	31.818	12.727	-3.182	-38.182	63.636	25.455	-5.795	-38.182	64.545	26.364	-7.727	-41.364	72.727	31.364	-5.682	-45.455	82.727	37.273	-7.045	-14.091	12.273	-1.818	-7.955	-14.091	11.818	-2.273	-7.955	-14.545	12.273	-2.273	-8.409	-34.091	62.273	28.182	-6.818	-11.364	11.364	0.000	-5.568	-119.545	227.273	107.727	9.659	-9.091	12.727	3.636	-2.273	-33.636	65.000	31.364	-4.659	-34.091	63.182	29.091	-5.000	-41.818	80.000	38.182	-5.000	-84.545	152.273	67.727	-3.977	-10.000	11.364	1.364	-4.205	-78.636	154.545	75.909	-2.841	-83.636	153.182	69.545	-7.614	-72.273	160.455	88.182	2.045	-54.091	145.909	91.818	15.227	-82.727	144.091	61.364	-6.136	-61.364	155.909	94.545	13.295	-35.000	61.364	26.364	-4.545	-36.818	64.091	27.273	-2.841	-37.273	64.091	26.818	-5.000	-35.909	62.727	26.818	-3.182	-84.091	160.000	75.909	-5.568	-106.364	174.545	68.182	-17.841	-80.000	158.182	78.182	-4.091	-60.000	168.636	108.636	23.636	-39.091	70.455	31.364	-4.091	-35.455	68.182	32.727	-3.523	-37.727	67.727	30.000	-5.568	-39.091	72.273	33.182	-3.182	-11.364	12.273	0.909	-5.227	-11.818	11.818	0.000	-5.682	-12.727	12.273	-0.455	-6.364	-65.455	139.091	73.636	-4.659	
8.000	-14.545	12.727	-1.818	-7.841	-100.000	160.909	60.909	-16.136	-14.545	14.091	-0.455	-7.500	-36.818	59.091	22.273	-7.045	-95.909	177.727	81.818	-2.273	-34.545	55.455	20.909	-8.864	-21.364	31.818	10.455	-5.000	-14.091	11.364	-2.727	-8.409	-17.727	30.000	12.273	-3.295	-92.273	156.364	64.091	-8.409	-42.273	72.273	30.000	-7.273	-42.273	65.000	22.727	-8.523	-38.636	60.909	22.273	-7.159	-277.273	222.727	-54.545	-180.114	-21.364	33.182	11.818	-3.750	-92.273	156.364	64.091	-8.409	-42.273	72.273	30.000	-7.273	-42.273	65.000	22.727	-8.523	-95.909	177.727	81.818	-2.273	-34.545	55.455	20.909	-8.864	-21.364	31.818	10.455	-5.000	-21.364	33.182	11.818	-3.750	-38.636	60.909	22.273	-7.159	-45.000	68.182	23.182	-8.977	-42.273	78.182	35.909	-5.909	-51.364	84.091	32.727	-7.614	-14.545	14.091	-0.455	-7.500	-14.545	12.727	-1.818	-7.841	-14.091	11.364	-2.727	-8.409	-36.818	59.091	22.273	-7.045	-10.909	10.909	0.000	-5.682	-108.636	189.545	80.909	-6.477	-8.182	11.818	3.636	-2.386	-32.727	59.091	26.364	-5.114	-32.273	57.273	25.000	-4.091	-37.727	70.000	32.273	-4.773	-83.182	145.455	62.273	-5.341	-10.000	12.273	2.273	-4.318	-92.727	158.182	65.455	-10.568	-99.545	182.727	83.182	-6.477	-61.364	149.545	88.182	15.795	-86.818	156.364	69.545	-8.182	-105.909	156.364	50.455	-26.364	-71.364	138.182	66.818	-1.136	-39.545	65.909	26.364	-5.114	-35.000	62.727	27.727	-3.182	-34.545	60.909	26.364	-4.659	-36.818	63.182	26.364	-5.000	-101.818	170.000	68.182	-8.523	-91.818	169.545	77.727	-3.636	-88.182	165.455	77.273	-8.977	-80.455	156.818	76.364	0.795	-35.455	63.182	27.727	-5.341	-33.636	60.455	26.818	-3.523	-37.727	63.182	25.455	-6.136	-41.364	75.000	33.636	-4.545	-10.909	12.727	1.818	-5.114	-12.273	12.273	0.000	-5.682	-12.727	13.636	0.909	-6.477	-72.727	133.182	60.455	-4.659	
9.000	-13.182	11.364	-1.818	-7.614	-80.455	146.364	65.909	-4.432	-13.182	13.182	0.000	-6.818	-37.727	63.182	25.455	-6.818	-85.455	162.273	76.818	-7.500	-35.455	52.727	17.273	-8.523	-17.727	28.636	10.909	-4.318	-14.091	11.818	-2.273	-8.295	-17.727	30.909	13.182	-2.386	-90.455	157.273	66.818	-10.909	-41.818	69.091	27.273	-7.159	-44.545	69.545	25.000	-9.318	-38.182	62.727	24.545	-5.455	-163.636	295.000	131.364	-49.091	-17.273	27.727	10.455	-3.068	-90.455	157.273	66.818	-10.909	-41.818	69.091	27.273	-7.159	-44.545	69.545	25.000	-9.318	-85.455	162.273	76.818	-7.500	-35.455	52.727	17.273	-8.523	-17.727	28.636	10.909	-4.318	-17.273	27.727	10.455	-3.068	-38.182	62.727	24.545	-5.455	-42.727	70.455	27.727	-8.750	-43.636	70.909	27.273	-6.364	-44.545	74.091	29.545	-6.477	-13.182	13.182	0.000	-6.818	-13.182	11.364	-1.818	-7.614	-14.091	11.818	-2.273	-8.295	-37.727	63.182	25.455	-6.818	-12.273	12.727	0.455	-5.795	-96.818	180.000	83.182	-8.864	-8.636	12.727	4.091	-2.386	-35.455	60.000	24.545	-3.636	-34.545	61.364	26.818	-3.409	-33.636	60.455	26.818	-3.977	-70.000	143.182	73.182	0.000	-10.909	12.727	1.818	-4.318	-84.091	156.818	72.727	-9.318	-88.636	161.364	72.727	-6.932	-95.000	177.273	82.273	-5.568	-79.545	146.818	67.273	-6.477	-98.636	153.636	55.000	-22.386	-62.727	139.091	76.364	4.205	-38.182	68.182	30.000	-4.659	-32.273	65.000	32.727	-3.068	-35.000	63.636	28.636	-4.659	-35.455	63.636	28.182	-2.045	-82.273	161.364	79.091	-5.909	-82.727	164.091	81.364	-1.136	-99.091	178.182	79.091	-5.909	-81.364	160.000	78.636	-1.364	-32.727	60.909	28.182	-5.114	-33.182	57.727	24.545	-3.068	-35.455	68.636	33.182	-4.886	-35.455	62.273	26.818	-4.432	-11.818	13.636	1.818	-5.114	-11.364	12.273	0.909	-5.682	-13.636	12.727	-0.909	-6.591	-68.636	132.273	63.636	-4.886	
10.000	-13.182	12.273	-0.909	-7.273	-85.455	158.636	73.182	-10.341	-11.818	12.273	0.455	-6.136	-34.091	57.273	23.182	-6.477	-61.364	151.364	90.000	-1.136	-34.091	64.545	30.455	-6.477	-20.909	33.182	12.273	-4.318	-14.091	11.818	-2.273	-8.068	-19.545	32.727	13.182	-2.841	-84.545	173.636	89.091	-6.818	-38.182	63.182	25.000	-6.705	-41.818	65.455	23.636	-8.636	-40.909	69.545	28.636	-6.136	-11.364	185.455	174.091	80.682	-20.909	34.091	13.182	-3.409	-84.545	173.636	89.091	-6.818	-38.182	63.182	25.000	-6.705	-41.818	65.455	23.636	-8.636	-61.364	151.364	90.000	-1.136	-34.091	64.545	30.455	-6.477	-20.909	33.182	12.273	-4.318	-20.909	34.091	13.182	-3.409	-40.909	69.545	28.636	-6.136	-37.727	63.182	25.455	-6.705	-42.727	73.182	30.455	-5.000	-46.364	80.455	34.091	-6.136	-11.818	12.273	0.455	-6.136	-13.182	12.273	-0.909	-7.273	-14.091	11.818	-2.273	-8.068	-34.091	57.273	23.182	-6.477	-12.273	12.727	0.455	-5.795	-95.909	211.364	115.455	7.500	-7.727	10.909	3.182	-2.386	-32.273	63.182	30.909	-2.841	-32.273	55.000	22.727	-4.659	-34.545	59.091	24.545	-4.886	-78.636	165.455	86.818	-1.477	-10.455	12.727	2.273	-4.545	-91.364	171.818	80.455	-3.977	-84.545	168.182	83.636	-7.614	-100.909	205.909	105.000	-2.273	-79.545	158.636	79.091	-7.159	-72.727	146.818	74.091	-7.045	-66.364	160.455	94.091	8.182	-36.364	64.091	27.727	-3.636	-34.545	64.091	29.545	-3.409	-41.818	63.182	21.364	-6.591	-36.818	64.091	27.273	-3.523	-82.273	163.636	81.364	-6.364	-90.455	174.545	84.091	-7.727	-90.455	181.818	91.364	-4.205	-66.818	175.909	109.091	17.614	-34.545	61.364	26.818	-5.000	-32.273	60.000	27.727	-3.182	-37.727	63.636	25.909	-5.795	-42.727	70.000	27.273	-5.114	-10.455	11.364	0.909	-5.000	-12.727	13.182	0.455	-5.909	-11.818	10.455	-1.364	-6.705	-79.091	143.182	64.091	-5.000	
